model,combo,sharpe,cost_adjusted_sharpe,sortino,max_drawdown,cvar,turnover
MV,AAVEBTC_ADABTC_AVAXBTC_DOTBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_DOTBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_DOTBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_DOTBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_ETHBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_FILBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETCBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_FILBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ETHBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_ICPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_FILBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ICPBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ICPBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ICPBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ICPBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_AVAXBTC_ICPBTC_STXBTC,,,inf,0.0,0.0,0.0
